ID,Slug,Name,Team
1629027,trae-young,Trae Young,ATL
1630200,tre-jones,Tre Jones,SAS
1630544,tre-mann,Tre Mann,OKC
1630570,trendon-watford,Trendon Watford,POR
1630235,trent-forrest,Trent Forrest,UTA
1630243,trevelin-queen,Trevelin Queen,PHI
1631309,trevor-hudgins,Trevor Hudgins,HOU
1631211,trevor-keels,Trevor Keels,NYK
203504,trey-burke,Trey Burke,HOU
1626168,trey-lyles,Trey Lyles,SAC
1630530,trey-murphy,Trey Murphy III,NOP
202684,tristan-thompson,Tristan Thompson,CHI
1628972,troy-brown,Troy Brown Jr.,LAL
1629660,ty-jerome,Ty Jerome,OKC
1631102,tyty-washington,TyTy Washington Jr.,HOU
1629076,tyler-cook,Tyler Cook,CHI
1629639,tyler-herro,Tyler Herro,MIA
1630169,tyrese-haliburton,Tyrese Haliburton,IND
1631213,tyrese-martin,Tyrese Martin,ATL
1630178,tyrese-maxey,Tyrese Maxey,PHI
1626145,tyus-jones,Tyus Jones,MEM
1628962,udoka-azubuike,Udoka Azubuike,UTA
2617,udonis-haslem,Udonis Haslem,MIA
1630586,usman-garuba,Usman Garuba,HOU
1630176,vernon-carey,Vernon Carey Jr.,WAS
203506,victor-oladipo,Victor Oladipo,MIA
1631246,vince-williams,Vince Williams Jr.,MEM
1630249,vit-krejci,Vit Krejci,OKC
1628427,vlatko-cancar,Vlatko Cancar,DEN
1631117,walker-kessler,Walker Kessler,UTA
201961,wayne-ellington,Wayne Ellington,LAL
1628976,wendell-carter,Wendell Carter Jr.,ORL
1631111,wendell-moore,Wendell Moore Jr.,MIN
1629117,wenyen-gabriel,Wenyen Gabriel,LAL
202083,wesley-matthews,Wesley Matthews,MIL
203115,will-barton,Will Barton,WAS
1626195,willy-hernangomez,Willy Hernangomez,NOP
1629875,xavier-moon,Xavier Moon,LAC
1630270,xavier-sneed,Xavier Sneed,UTA
1630214,xavier-tillman,Xavier Tillman Sr.,MEM
1631161,yannick-nzosa,Yannick Nzosa,WAS
1629139,yuta-watanabe,Yuta Watanabe,TOR
1630582,yves-pons,Yves Pons,MEM
1628380,zach-collins,Zach Collins,SAS
203897,zach-lavine,Zach LaVine,CHI
1630192,zeke-nnaji,Zeke Nnaji,DEN
1630533,ziaire-williams,Ziaire Williams,MEM
1629627,zion-williamson,Zion Williamson,NOP
